# year month sun_hours
1.948000000000000000e+03 1.000000000000000000e+00 nan
1.948000000000000000e+03 2.000000000000000000e+00 nan
1.948000000000000000e+03 3.000000000000000000e+00 nan
1.948000000000000000e+03 4.000000000000000000e+00 nan
1.948000000000000000e+03 5.000000000000000000e+00 nan
1.948000000000000000e+03 6.000000000000000000e+00 nan
1.948000000000000000e+03 7.000000000000000000e+00 nan
1.948000000000000000e+03 8.000000000000000000e+00 nan
1.948000000000000000e+03 9.000000000000000000e+00 nan
1.948000000000000000e+03 1.000000000000000000e+01 nan
1.948000000000000000e+03 1.100000000000000000e+01 nan
1.948000000000000000e+03 1.200000000000000000e+01 nan
1.949000000000000000e+03 1.000000000000000000e+00 nan
1.949000000000000000e+03 2.000000000000000000e+00 nan
1.949000000000000000e+03 3.000000000000000000e+00 nan
1.949000000000000000e+03 4.000000000000000000e+00 nan
1.949000000000000000e+03 5.000000000000000000e+00 nan
1.949000000000000000e+03 6.000000000000000000e+00 nan
1.949000000000000000e+03 7.000000000000000000e+00 nan
1.949000000000000000e+03 8.000000000000000000e+00 nan
1.949000000000000000e+03 9.000000000000000000e+00 nan
1.949000000000000000e+03 1.000000000000000000e+01 nan
1.949000000000000000e+03 1.100000000000000000e+01 nan
1.949000000000000000e+03 1.200000000000000000e+01 nan
1.950000000000000000e+03 1.000000000000000000e+00 nan
1.950000000000000000e+03 2.000000000000000000e+00 nan
1.950000000000000000e+03 3.000000000000000000e+00 nan
1.950000000000000000e+03 4.000000000000000000e+00 nan
1.950000000000000000e+03 5.000000000000000000e+00 nan
1.950000000000000000e+03 6.000000000000000000e+00 nan
1.950000000000000000e+03 7.000000000000000000e+00 nan
1.950000000000000000e+03 8.000000000000000000e+00 nan
1.950000000000000000e+03 9.000000000000000000e+00 nan
1.950000000000000000e+03 1.000000000000000000e+01 nan
1.950000000000000000e+03 1.100000000000000000e+01 nan
1.950000000000000000e+03 1.200000000000000000e+01 nan
1.951000000000000000e+03 1.000000000000000000e+00 nan
1.951000000000000000e+03 2.000000000000000000e+00 nan
1.951000000000000000e+03 3.000000000000000000e+00 nan
1.951000000000000000e+03 4.000000000000000000e+00 nan
1.951000000000000000e+03 5.000000000000000000e+00 nan
1.951000000000000000e+03 6.000000000000000000e+00 nan
1.951000000000000000e+03 7.000000000000000000e+00 nan
1.951000000000000000e+03 8.000000000000000000e+00 nan
1.951000000000000000e+03 9.000000000000000000e+00 nan
1.951000000000000000e+03 1.000000000000000000e+01 nan
1.951000000000000000e+03 1.100000000000000000e+01 nan
1.951000000000000000e+03 1.200000000000000000e+01 nan
1.952000000000000000e+03 1.000000000000000000e+00 nan
1.952000000000000000e+03 2.000000000000000000e+00 nan
1.952000000000000000e+03 3.000000000000000000e+00 nan
1.952000000000000000e+03 4.000000000000000000e+00 nan
1.952000000000000000e+03 5.000000000000000000e+00 nan
1.952000000000000000e+03 6.000000000000000000e+00 nan
1.952000000000000000e+03 7.000000000000000000e+00 nan
1.952000000000000000e+03 8.000000000000000000e+00 nan
1.952000000000000000e+03 9.000000000000000000e+00 nan
1.952000000000000000e+03 1.000000000000000000e+01 nan
1.952000000000000000e+03 1.100000000000000000e+01 nan
1.952000000000000000e+03 1.200000000000000000e+01 nan
1.953000000000000000e+03 1.000000000000000000e+00 nan
1.953000000000000000e+03 2.000000000000000000e+00 nan
1.953000000000000000e+03 3.000000000000000000e+00 nan
1.953000000000000000e+03 4.000000000000000000e+00 nan
1.953000000000000000e+03 5.000000000000000000e+00 nan
1.953000000000000000e+03 6.000000000000000000e+00 nan
1.953000000000000000e+03 7.000000000000000000e+00 nan
1.953000000000000000e+03 8.000000000000000000e+00 nan
1.953000000000000000e+03 9.000000000000000000e+00 nan
1.953000000000000000e+03 1.000000000000000000e+01 nan
1.953000000000000000e+03 1.100000000000000000e+01 nan
1.953000000000000000e+03 1.200000000000000000e+01 nan
1.954000000000000000e+03 1.000000000000000000e+00 nan
1.954000000000000000e+03 2.000000000000000000e+00 nan
1.954000000000000000e+03 3.000000000000000000e+00 nan
1.954000000000000000e+03 4.000000000000000000e+00 nan
1.954000000000000000e+03 5.000000000000000000e+00 nan
1.954000000000000000e+03 6.000000000000000000e+00 nan
1.954000000000000000e+03 7.000000000000000000e+00 nan
1.954000000000000000e+03 8.000000000000000000e+00 nan
1.954000000000000000e+03 9.000000000000000000e+00 nan
1.954000000000000000e+03 1.000000000000000000e+01 nan
1.954000000000000000e+03 1.100000000000000000e+01 nan
1.954000000000000000e+03 1.200000000000000000e+01 nan
1.955000000000000000e+03 1.000000000000000000e+00 nan
1.955000000000000000e+03 2.000000000000000000e+00 nan
1.955000000000000000e+03 3.000000000000000000e+00 nan
1.955000000000000000e+03 4.000000000000000000e+00 nan
1.955000000000000000e+03 5.000000000000000000e+00 nan
1.955000000000000000e+03 6.000000000000000000e+00 nan
1.955000000000000000e+03 7.000000000000000000e+00 nan
1.955000000000000000e+03 8.000000000000000000e+00 nan
1.955000000000000000e+03 9.000000000000000000e+00 nan
1.955000000000000000e+03 1.000000000000000000e+01 nan
1.955000000000000000e+03 1.100000000000000000e+01 nan
1.955000000000000000e+03 1.200000000000000000e+01 nan
1.956000000000000000e+03 1.000000000000000000e+00 nan
1.956000000000000000e+03 2.000000000000000000e+00 nan
1.956000000000000000e+03 3.000000000000000000e+00 nan
1.956000000000000000e+03 4.000000000000000000e+00 nan
