RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            6     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     5.994D+00  3.630D+01
    1    5     3     4  ---    3  2.4D-04  1.5D-03  5.993D+00  3.624D+01
    2    6     1     2  con    0  1.0D+00  3.6D-04  5.993D+00  3.623D+01
    3    8     1     2  con    1  5.0D+00  1.8D-04  5.993D+00  3.623D+01
    4    9     1     2  con    0  1.0D+00  1.2D-03  5.992D+00  3.622D+01
    5   10     1     2  con    0  1.0D+00  4.8D-03  5.987D+00  3.619D+01
    6   11     1     2  bnd    0  1.0D+00  1.3D-02  5.974D+00  3.613D+01
    7   13     1     2  bnd    1  5.0D+00  1.9D-01  4.904D+00  3.492D+01
    8   14     1     1  con    0  1.0D+00  7.5D-01  2.345D+00  3.115D+01
    9   16     1     1  con    1  4.9D-01  6.1D-01  9.990D+00  2.901D+01
   10   17     1     0  bnd    0  1.0D+00  2.4D-01  9.990D+00  2.510D+01
   11   18     1     0  bnd    0  1.0D+00  1.1D-02  9.844D-01  1.845D+01
   12   19     1     1  con    0  1.0D+00  4.4D-01  9.990D+00  1.728D+01
   13   20     1     0  con    0  1.0D+00  2.6D-01  4.621D+00  1.633D+01
   14   21     1     0  con    0  1.0D+00  3.1D-02  7.659D+00  1.631D+01
   15   22     1     0  con    0  1.0D+00  1.2D-02  8.197D+00  1.630D+01
   16   23     1     0  con    0  1.0D+00  2.2D-03  8.165D+00  1.630D+01
   17   24     1     0  con    0  1.0D+00  7.7D-03  8.625D+00  1.630D+01
   18   25     1     0  con    0  1.0D+00  2.8D-02  9.878D+00  1.628D+01
   19   26     1     0  con    0  1.0D+00  6.1D-02  9.975D+00  1.623D+01
   20   27     1     0  con    0  1.0D+00  1.5D-01  9.945D+00  1.610D+01
