# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://waterdata.usgs.gov/nwis/help/?provisional
#
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2011-09-30 09:35:31 EDT       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 08220000 RIO GRANDE NEAR DEL NORTE, CO
# -----------------------------------------------------------------------------------
#
# Data provided for site 08220000
#    DD parameter statistic   Description
#    01   00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     e  Value has been estimated.  
# agency_cd	site_no	datetime	01_00060_00003	01_00060_00003_cd
# 5s	15s	20d	14n	10s
USGS	08220000	2000-01-01	190	A:e
USGS	08220000	2000-01-02	170	A:e
USGS	08220000	2000-01-03	160	A:e
USGS	08220000	2000-01-04	160	A:e
USGS	08220000	2000-01-05	170	A:e
USGS	08220000	2000-01-06	180	A:e
USGS	08220000	2000-01-07	170	A:e
USGS	08220000	2000-01-08	190	A:e
USGS	08220000	2000-01-09	190	A:e
USGS	08220000	2000-01-10	200	A:e
USGS	08220000	2000-01-11	210	A:e
USGS	08220000	2000-01-12	210	A:e
USGS	08220000	2000-01-13	190	A:e
USGS	08220000	2000-01-14	190	A:e
USGS	08220000	2000-01-15	190	A:e
USGS	08220000	2000-01-16	190	A:e
USGS	08220000	2000-01-17	200	A:e
USGS	08220000	2000-01-18	200	A:e
USGS	08220000	2000-01-19	210	A:e
USGS	08220000	2000-01-20	190	A:e
USGS	08220000	2000-01-21	200	A:e
USGS	08220000	2000-01-22	190	A:e
USGS	08220000	2000-01-23	180	A:e
USGS	08220000	2000-01-24	190	A:e
USGS	08220000	2000-01-25	200	A:e
USGS	08220000	2000-01-26	200	A:e
